Country,ObservatoryID,UnitID,DateDeployed,DateCollected,EventID,MaterialSampleID,Fraction,Preservative,Filter,CrateCover,Number of associated data files,Number of ENA sequences
SWE,Koster,VH3,18/04/2018,27/05/2019,ARMS_Koster_VH3_20180418_20190527,ARMS_Koster_VH3_20180418_20190527_SF40_DMSO,Sessile,DMSO,40,Yes,109,4
SWE,Koster,VH3,27/05/2019,16/07/2020,ARMS_Koster_VH3_20190527_20200716,ARMS_Koster_VH3_20190527_20200716_MF100,Motile,DMSO,100,not provided,31,6
SWE,Koster,VH3,27/05/2019,16/07/2020,ARMS_Koster_VH3_20190527_20200716,ARMS_Koster_VH3_20190527_20200716_MF500,Motile,DMSO,500,not provided,31,6
SWE,Koster,VH3,27/05/2019,16/07/2020,ARMS_Koster_VH3_20190527_20200716,ARMS_Koster_VH3_20190527_20200716_SF40,Sessile,DMSO,40,not provided,31,6
SWE,Laesoe,Laeso1,19/08/2019,11/08/2020,ARMS_Laeso_Laeso1_20190819_20200811,ARMS_Laeso_Laeso1_20190819_20200811_MF100,Motile,DMSO,100,Yes,27,6
SWE,Laesoe,Laeso1,19/08/2019,11/08/2020,ARMS_Laeso_Laeso1_20190819_20200811,ARMS_Laeso_Laeso1_20190819_20200811_MF500,Motile,DMSO,500,Yes,27,6
SWE,Laesoe,Laeso1,19/08/2019,11/08/2020,ARMS_Laeso_Laeso1_20190819_20200811,ARMS_Laeso_Laeso1_20190819_20200811_SF40,Sessile,DMSO,40,Yes,27,6
SWE,Laesoe,Laeso2,19/08/2019,11/08/2020,ARMS_Laeso_Laeso2_20190819_20200811,ARMS_Laeso_Laeso2_20190819_20200811_MF100,Motile,DMSO,100,Yes,21,6
SWE,Laesoe,Laeso2,19/08/2019,11/08/2020,ARMS_Laeso_Laeso2_20190819_20200811,ARMS_Laeso_Laeso2_20190819_20200811_MF500,Motile,DMSO,500,Yes,21,4
SWE,Laesoe,Laeso2,19/08/2019,11/08/2020,ARMS_Laeso_Laeso2_20190819_20200811,ARMS_Laeso_Laeso2_20190819_20200811_SF40,Sessile,DMSO,40,Yes,21,6
SWE,Laesoe,Laeso3,19/08/2019,11/08/2020,ARMS_Laeso_Laeso3_20190819_20200811,ARMS_Laeso_Laeso3_20190819_20200811_MF100,Motile,DMSO,100,Yes,21,6
SWE,Laesoe,Laeso3,19/08/2019,11/08/2020,ARMS_Laeso_Laeso3_20190819_20200811,ARMS_Laeso_Laeso3_20190819_20200811_MF500,Motile,DMSO,500,Yes,21,6
SWE,Laesoe,Laeso3,19/08/2019,11/08/2020,ARMS_Laeso_Laeso3_20190819_20200811,ARMS_Laeso_Laeso3_20190819_20200811_SF40,Sessile,DMSO,40,Yes,21,6
